Time,AES ID,DP AES Owner,Channel Name,Ocean Region,GES ID (octal),Channel Bearer,Channel Unit ID,Channel Type,Superframe Number,Frame Number,Slot Number,SU Number,SU Type,SU Type Code,SU Contents,Q Number,Reference Number,Ack Control,SDM Figure,CRC Correct,Missed T-Channel Burst,Broadcast,Rx Power (dBm),C/No,Frequency Offset (Hz),Estimated BER,Burst Timing Offset (microseconds)
7/03/2014 16:42:41.888,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:42.082,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:42.208,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:42.368,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:42.529,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:42.688,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:42.848,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,122,,9900
7/03/2014 16:42:43.008,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,122,,9900
7/03/2014 16:42:43.168,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,123,,9900
7/03/2014 16:42:43.328,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,123,,9900
7/03/2014 16:42:43.488,35200217,SITADP (3047),IOR-T1200-0-36D8,IOR,305,,8,T-Channel RX,,,,,Subsequent Signalling Unit,,,,,,,,,,,,124,,9900
7/03/2014 16:42:44.405,35200217,SITADP (3047),IOR-P10500-0-3859,IOR,305,,10,P-Channel TX,,,,,0x62 - Acknowledge User Data,,,,,,,,,,,,,,
